Current Position Requirments,Current Position,Alternative 1,Alternative 2
"Pria, usia maks. 35 tahun Pendidikan Min. SMA/K sederajat Berpengalaman Min. 1 Tahun di bidang Staff Merchendiser (MD) Menyukai dunia fashion Menguasai Microsoft Office (Excel lebih disukai) Bersedia kerja mobile (dalam kota & luar kota) Bersedia bekerja dibawah tekanan ",Merchandiser Staff,Admin Kitchen,Sales Toyota
"Pendidikan SMK/SMA, D3, S1 Penempatan Sebakis & Sebuku Nunukan, Kalimantan Utara  ",Admin Produksi,GRAPHIC DESIGNER & CONTENT CREATOR,Host/Pembawa Acara
Pria / Wanita Minimal Pendidikan SMA/SMK/Sederajat Memiliki komunikasi yang baik Pekerja keras Memiliki pengalaman di bidang yg sama Terbiasa bekerja dgn target Money oriented ,Sales Kartu Kredit Perbankan,Host Live Streaming,Sales Toyota
Pendidikan SMA/SLTA  Pengalaman minimal 1 tahun untuk posisi yang sama.  Memiliki sertifikat Gada Pratama dan KTA aktif.  Pengalaman serupa di pengelolaan pabrik lebih disukai.  Tinggi Minimal 165 cm  Berat badan proposional ,Anggota Security,CDP / COOK / COOK HELPER / STEWARD,Sales Executive
"Wanita, minimal lulusan SMA/K Boleh Fresh Graduate Pengalaman kerja 1 tahun lebih baik Mampu berkomunikasi dengan lancar Mempunyai Jiwa Kepemimpinan Siap bekerja keras Bisa bekerja sama dengan tim",Customer Service ,Admin Sosmed,Sales Toyota
"Technical requirements to perform the work Access to a laptop or computer which uses: A logon account unique to you Anti-virus solution that is kept up to date, with regular scans performed Only one member per household may apply NB. All products should be provided at your own expense. Ideal CandidateFluent in English Excellent research skills. Excellent local knowledge of your home country. Good understanding and general knowledge of the geography and culture of Indonesia. Analytical mindset. Job RequirementsMust be living in Indonesia for a minimum of 5 consecutive years. Must pass an online open-book exam that can verify your full understanding of the material and concepts. Must be willing to work a minimum of 10 hours and up to 20 hours per week depending on task availability. Good working knowledge of search engines, map applications and familiarity with social media platforms. Strong ability to learn, understand and apply multiple sets of different instructions. All work must be of an independent nature.",Data Analyst,Cashier ,SPG Regular Mobile 
Pria & wanita maks. 40 tahun Min. pendidikan SMA. Pengalaman/Non pengalaman Komunikatif dan tidak baperan Pekerja keras/rajin Money oriented ,Telemarketing,Sales Toyota,Senior Cook Indonesian Food  
"Usia 18 45 tahun Pendidikan min SMA / SMK / Paket C sederajat (Tidak Sedang Kuliah ) Berpengalaman / Fresh Graduate Ramah, Komunikatif & Proaktif Memiliki Sepeda Motor, SIM C & STNK Sepeda Motor yang masih Aktif Mengenal & Menguasai Wilayah Kota / Kabupaten di sekitar tempat tinggalnya dengan baik Benefit (Keuntungan yang bisa didapatkan) : Bisa bekerja sesuai domisili Penghasilan rata-rata diatas UMR (Basic, Insentive, Bonus, Uang Bensin, Pulsa) Asuransi Kesehatan dari Asuransi Swasta Jenjang Karir yang sudah jelas Tidak perlu memiliki pengalaman sebelumnya, Lulusan SMA baru juga bisa melamar SMA/SMU/SMK (Preferred) Experience: Kolektor (Penagihan): 1 year (Preferred)",Field Agent Home Credit Indonesia  ,Crew Restoran ,Driver
"PRIA / WANITA MINIMAL 18 S.D 40 TAHUN MEMILIKI KENDARAAN MOTOR MINIMAL SMA MAMPU BERKOMUNIKASI DENGAN BAIK CEKATAN , DISIPLIN BEBAS BI CHEKING SMA/SMU/SMK (Diutamakan) telemarketing,sales, callcenter, desk colection: 1 tahun (Diutamakan)",TELEMARKETING PERBANKAN AREA JAKARTA PUSAT,Sales Promotor Handphone,Consultant as Communications Officer for Food System
"Min. SMA/SMK seluruh jurusan  Memiliki ketertarikan terhadap industri properti. Skill Komunikasi: senang berinteraksi dan berbicara dengan orang lain. Skill Negosiasi: tidak mudah menyerah, senang mencari solusi untuk mencapai kesepakatan. Skill Penjualan: tidak malu saat melakukan promosi untuk meyakinkan pelanggan dan terbiasa dalam menangani penolakan. Berorientasi pada Customer: memiliki empati terhadap customer, dan mau mengerti kebutuhan customer. Berpengalaman dalam bidang jasa, penjualan, atau bidang lainnya yang membutuhkan komunikasi dengan customer. Memiliki pengalaman/background di bidang properti merupakan nilai plus. Memiliki kemampuan dalam mendesain. ",Telegeneralist,Content Creator,Sales Toyota
"Pendidikan Min SMA/Sederajat Usia min 19-45 Tahun Berpenampilan menarik Jujur, tekun dan bertanggung jawab mampu berkomunikasi dengan baik dan responsif mampu bekerja secara individual maupun tim",SALES AGENT / SPG / SPB,Sales Executive,Admin Proyek
"Pengalaman kerja minimal 1 tahun di posisi yang sama Mengerti basic pastry, dari segi teknik dan alur kerja. Pendidikan minimal SMA/SMK Usia maksimal 30 tahun Memiliki komunikasi yang baik, team work, proaktif, kreatif, memilii time management yang baik dan disiplin Penempatan Jakarta Barat",Pancake Pastry,Sales MD ,Admin
Pria / Wanita usia 17-35 tahun Pengalaman / non pengalaman Pendidikan min SMA sederajat Siap bekerja sama dengan team ,Waiter / s,Host Live Streaming,Apprenticeship â€“ Digital Marketing for App Campaign
"Maksimal 30 Tahun. Minimal Pendidikan SMA/Sederajat. Memiliki pengalaman sebagai Sales Retail minimal 1 tahun. Bersedia bekerja mobile Memiliki komunikasi yang baik, mampu untuk negosiasi, energik, jujur. Memiliki kendaraan bermotor dan kelengkapan SIM . Penempatan di Cengkareng, Jakarta Ability to commute/relocate: Jakarta: Reliably commute or planning to relocate before starting work (Required) Experience: Promoter: 1 year (Preferred)",Sales Canvas ,Anggota Security,SPV Gudang
"Laki-laki, Max. 33 tahun  Min. SMK/SMA dari semua jurusan  Min. 2 tahun pengalaman sebagai Marketing dan promosi product  Pengalaman handle promosi product FMCG atau Stationery menjadi nilai tambah  Bersedia Mobilitas dan memiliki kendaraan motor  Penempatan di Pekanbaru, Riau Tanggung Jawab ",Sales Marketing,Kasir,Sales Toyota
Keahlian: Microsoft Office Usia Minimal 18 Tahun Minimal Pendidikan SMA/Sederajat Diutamakan bagi yang memiliki pengalaman min 2 tahun dalam bidang administrasi di perusahaan Money Changer Mampu mengoperasikan program MS Excel dan formula dasar Bertanggungjawab Mampu Bekerja secara individu maupun tim Domisili di sekitar Jakarta Pusat,Staff Admin Money Changer,Sales Executive,Sales Toyota
Laki-laki / Perempuan Pendidikan min. SMA/SMK Sederajat Usia 20-35 tahun Percaya diri Memiliki pengalaman Telesales / Telemarketing menjadi nilai plus (Belum berpengalaman diperbolehkan mendaftar) Orientasi terhadap target Mampu belajar dengan cepat Bersedia untuk ditempatkan di luar daerah,Telemarketing Officer,Sales Toyota,Host Live Streaming
"Wanita Memiliki pengalaman sebagai host menjadi nilai lebih. Memiliki passion dan tertarik dengan Fashion. Minimum pendidikan SMA/SMK/Sederajat, Fresh graduate diperbolehkan. Berpengalaman di bidang Retail (Offline/Online), Sales Promotion, Marketing Digital dan Public Speaking. Bersedia mengikuti tata tertib aturan yang diberikan oleh perusahaan. Memiliki komunikasi yang baik, mampu bekerja secara team/individual, aktif dalam ruang diskusi, memiliki komitment yang kuat, serta loyalitas yang tinggi. Memiliki kemampuan bahasa Inggris/Mandarin menjadi nilai lebih. Bersedia bekerja secara full-time di 6-8 jam kerja, serta bersedia bekerja dengan sistem shifting. Bersedia ditempatkan Kantor: Cempaka Putih / Kelapa Gading, Jakarta (sesuai kebutuhan)",Host Live Streaming TikTok Shop,Guru Geografi,Guru Bahasa Inggris SMA
"Usia 18 45 tahun Pendidikan min SMA / SMK / Paket C sederajat (Tidak Sedang Kuliah ) Berpengalaman / Fresh Graduate Ramah, Komunikatif & Proaktif Memiliki Sepeda Motor, SIM C & STNK Sepeda Motor yang masih Aktif Mengenal & Menguasai Wilayah Kota / Kabupaten di sekitar tempat tinggalnya dengan baik Benefit (Keuntungan yang bisa didapatkan) : Bisa bekerja sesuai domisili Penghasilan rata-rata diatas UMR (Basic, Insentive, Bonus, Uang Bensin, Pulsa) Asuransi Kesehatan dari Asuransi Swasta Jenjang Karir yang sudah jelas Tidak perlu memiliki pengalaman sebelumnya, Lulusan SMA baru juga bisa melamar Kolektor (Penagihan): 1 year (Preferred)",KOLEKTOR Home Credit Indonesia Area CAKUNG JAKARTA TIMUR,Crew Restoran ,Driver
"A Master/Doctoral Degree in Marketing, Business, Management, Digital Marketing, Business Law, Entrepreneurship, Finance, Accounting, or related areas.  Having expertise/experience in Digital Marketing  Overseas graduate would be preferable  Excellent English communication skill is mandatory  Placement in Pulomas, East Jakarta",Part Time Lecturer in International Business Management,Marketing.,Halal Supervisor 
"Usia 18-35 Tahun Minimal Pendidikan SMA/Sederajat Pengalaman sebagai Telemarketing Fintech atau Banking Mampu berkomunikasi dengan menggunakan Bahasa Indonesia yang baik dan benar Memiliki kemauan tinggi untuk mencapai target Mampu mengoperasikan komputer Cepat belajar dan menerima instruksi dengan baik Rajin, disiplin, dan bertanggung jawab atas pekerjaannya",Telemarketing Borrower,Security Officer,Sales Executive
Pendidikan Min. SMA/SMK Usia Max. 30 Tahun Memiliki pengalaman sebagai Sales Elektronik (min. 1 tahun) Memiliki basic selling yang baik Bersedia ditempatkan di DKI Jakarta SMA/SMU/SMK (Preferred),Sales Promotor Elektronik,Sales Toyota,SALES MARKETING EXECUTIVE 
" Pria & Wanita , Usia Maks.35thn Pend.Min SMA Memiliki Pengalaman Kerja Sales/Marketing/SMD HORECA Bidang FMCG Min.1 Tahun Memiliki Pengalaman Team Leader HORECA Bidang FMCG Min. 2 Tahun (Lebih Di Prioritaskan) Memiliki Kemampuan Komunikasi , Negoisasi Yang Baik Bersedia Bekerja Dengan Pola Target Dan Mobile Memiliki SIM C Aktif & Kendaraan Bermotor Memiliki Laptop Pribadi ",Sales Representative HORECA,Sales Toyota,Cook Helper
"Pria/ Wanita Usia 20 30 tahun Minimal pendidikan SMA/SMK/sederajat Skill: Ms Excel, Word, Power Point Language: Indonesia (native) & English (basic-intermediate) Domisili: DKI Jakarta Penempatan: Jakarta Pusat Inggris (basic-intermediate) (Diwajibkan)",Admin Business Banking,Sales Executive,Administrasi Warhouse
Usia 18-30 tahun Minimal lulusan SMA / SMK / sederajat Memahami e-commerce Mengerti live streaming Fresh graduate dipersilahkan,Operator Live Streaming Tiktok Shop,Host Live Streaming,Gondola
Lulusan S1 atau sedang berkuliah sesuai dengan jurusan yang dipilih Memiliki pengalaman mengajar SMA/UTBK/Tes Skolastik Senang berinisiatif dan mencoba hal baru dalam mengajar Memahami sistem pendidikan standar Nasional Berdomisili di daerah sekitar penempatan ,Tutor Sosiologi,Software Engineer ,Software Design Instructor 
"Usia maksimal 35 tahun Memiliki pengalaman kerja Cook Pastry di Resto/Hotel Pendidikan minimal SMA / SMK Perhotelan / Pariwisata atau sederajat Memiliki pengetahuan dan mengerti membuat Pastry food Bersedia ditempatkan berdasarkan kebutuhan Perusahaan Bersedia bekerja dengan sistem shift Memiliki passion dibidang F&B Japanese, disiplin yang kuat serta mau belajar Mengerti dan memahami standarisasi penggunaan alat-alat pembuatan Pastry (wajib)",Cook Pastry,Consultant as Sustainable Palm Oil Policy Specialist,Sales Toyota
"Umur Max 25 tahun Mempunyai SIM dan kendaraan pribadi (minimal sepeda motor) Tidak memiliki catatan kriminal  Pengalaman Bekerja keras Dapat bekerja dalam target Mempunyai disiplin dan loyalitas yang tinggi  Benefit Gaji Pokok dan insentif penjualan Training dan jenjang karir sesuai pencapaian target Fasilitas kesehatan, tunjangan makan dan transport sesuai dengan jabatan Trip dan penghasilan tambahan dari kontes",Sales Toyota,Sales MD ,Cook Helper
Mencari orang untuk membantu pemindahan Fasilitas Kesehatan (Faskes) mereka ke Fasilitas Kesehatan Siloam Clinic menggunakan Mobile JKN Sales: 1 year (Preferred),Sales Advisor,DRIVER JAKARTA,Consultant as Communications Officer for Food System
"Pengalaman min. 1 tahun sebagai Kitchen Crew atau Cook di Restoran masakan Japanese Western Memiliki komunikasi yang baik, dapat bekerja secara team/individu, inisiatif, teliti, dan disiplin Pendidikan minimal SMA/SMK atau setara Usia Maksimal 30 tahun Penempatan Jakarta Barat Pengalaman: Koki, Kitchen krew, CDP: 1 tahun (Diwajibkan)","Cook, Kitchen",Consultant as Communications Officer for Food System,CSA  BEKASI
"Mampu berkomunikasi dengan Baik. Teliti dan memperhatikan hal-hal yang bersifat detil. Mengerti cara mengoperasikan Komputer, Microsoft Office. Jujur dan Mau bekerja keras di dalam office / di luar office. Mempunyai jiwa pemasaran. Lebih diutamakan yang sudah cukup berpengalaman. Mampu berbahasa Inggris mendapatkan nilai lebih. Pria/Wanita Minimal pengalaman 2 tahun di bidang Money Changer Minimal SMA/Sederajat Bertanggungjawab Mampu Bekerja secara individu maupun tim Domisili di sekitar Jakarta Pusat",Staff Marketing Money Changer,Sales Toyota,Sales MD 
"Wanita usia 18 s/d 25 tahun, mampu kerja di bawah tekanan, pengalaman/non pengalaman, pendidikan minimal SMA/SMK, siap di tempatkan di cabang mana saja, bersedia di kontrak 2 tahun, bekerja full ",Beautician,Sales Executive,Consultant as Communications Officer for Food System
"Strong foundation in computer science and problem-solving abilities At least 1-2 years of experience in software development (backend or frontend) products Recent graduates with relevant internship experience are encourged to apply Familiar with the stack listed below is preferred Bachelor's or Master's Degree in Computer Science, Computer Engineering, or related field from reputable university ",Software Engineer ,Halal Supervisor ,Sales Area/Business Consultant
Minimal pendidikan SMA/SMK/D3  Memiliki pengalaman field officer/Sales  Mampu bekerja dengan target  Memilikimu HP Android yang bisa digunakan dengan baik ,QRIS Canvasser ,Operator,SALES PROMOTOR
"Minimal Pendidikan SMA atau sederajat Memiliki keahlian dalam bernegosiasi dan pemasaran Cakap dalam berkomunikasi Memiliki pengalaman di bidang sales lapangan minimal 1 tahun. Memahami cara analisa data penjualan Memiliki kendaraan motor dan powerbank Bersedia ditempatkan di JADETABEK Diutamakan yang berdomisili di Jakarta Timur, Jakarta Barat, Bekasi Utara & Bekasi Kota",Sales Acquisition,Sales Toyota,Cook Helper Pastry
Pria Usia Maksimal 40 Tahun  Pendidikan Minimal SMA/SMK  Mempunyai Kemampuan maintenance ringan ,Kernet,Sales Executive,Senior Cook Indonesian Food  
"Pendidikan min SMA / SMK / Paket C sederajat (Tidak Sedang Kuliah ) Berpengalaman / Fresh Graduate Ramah, Komunikatif & Proaktif Memiliki Sepeda Motor, SIM C & STNK Sepeda Motor yang masih Aktif Mengenal & Menguasai Wilayah Kota / Kabupaten di sekitar tempat tinggalnya dengan baik Benefit (Keuntungan yang bisa didapatkan) : Bisa bekerja sesuai domisili Penghasilan rata-rata diatas UMR (Basic, Insentive, Bonus, Uang Bensin, Pulsa) Asuransi Kesehatan dari Asuransi Swasta Jenjang Karir yang sudah jelas Tidak perlu memiliki pengalaman sebelumnya, Lulusan SMA baru juga bisa melamar SMA/SMU/SMK (Preferred) Kolektor (Penagihan): 1 year (Preferred)",Field Agent Home Credit Indonesia  ,Crew Restoran ,Driver
Usia 25 35 tahun Pria/ Wanita Bisa menawarkan pinjaman dana tunai dengan jaminan BPKB mobil/ motor BY PHONE Terbiasa bekerja dengan target Terbiasa kerja dibawah tekanan Mempunyai HANDPHONE ANDROID (WAJIB) Sudah vaksin booster (WAJIB) Berpengalaman dalam TELESALES/ TELEMARKETING  1 tahun (Diwajibkan) Siap ditempatkan di Kemayoran (Jakarta Pusat),TELESALES OFFICER  / Telemarketing,Crew Outlet ,Sales Toyota
SMA/SMU/SMK (Preferred) Graphic Design: 1 year (Required),Graphic Design,DRIVER JAKARTA,Consultant as Communications Officer for Food System
wanita Minimal SMA/SMK SEDERAJAT Bersedia berkerja dengan Target Mampu berkerja dengan Team/individual Mampu berkerja di bawah tekanan,ADMIN,Sales Toyota,Sales Executive
Usia maksimal 45 tahun  Pendidikan: SMA / D3 / Sarjana S1  Pengalaman kerja minimal 1 tahun bidang Marketing  Mempunyai SIM A/C dan kendaraan bermotor  Mampu bekerja dengan tenggat waktu & berorientasi pada target  Bisa bekerja dalam teamwork  Minimal sudah vaksin1 & 2 ,Marketing Sales ,Host Live Streaming,Data Analyst
"Pendidikan terakhir minimal SMA/SMK Memiliki kendaraan sendiri (motor) & SIM C Memiliki pengalaman sebagai Sales Modern Market dan/atau HORECA minimal 2 tahun di perusahaan FMCG (Fast Moving Consumer Goods) Memiliki kemampuan presentasi yang baik serta motivasi yang tinggi Good looking, sopan, jujur, tanggung jawab, tekun, teliti, serta target oriented. Dapat bekerja sama dengan baik dalam tim maupun individu, proaktif dan komunikatif. Dapat melakukan Follow Up penjualan terhadap customer dengan baik Dapat join secepatnya",Sales Representative,Sales MD ,Posisi kasir untuk Jakarta
Memliki pengalaman min.1 tahun  Memiliki komunikasi yang baik  Pendidikan min. SMA/K/MA ,Field Collection,Sales Toyota,SALES MARKETING EXECUTIVE 
"Wanita, Pendidikan minimal SMA/SMK. Maksimal usia 25 tahun. Memiliki pengalaman kerja minimal 1 tahun sebagai SPB/SPG Promotion Memiliki pengalaman di FMCG (Fast Moving Consumer Goods) merupakan nilai plus. Pengalaman kerja di bidang produk Frozen Food dan Event Promotion lebih diminati. Menguasai wilayah sesuai penempatan. Lebih diutamakan memiliki kendaraan pribadi (Sepeda Motor). Ability to commute/relocate: Jakarta: Reliably commute or planning to relocate before starting work (Required)",SPG ,Anggota Security,Staff Logistik 
"Final year college student/fresh graduate are welcome Majoring in Marketing Communication/Design Communication Visual Understand Social Media design experience Advanced in using design software (Adobe Illustrator, Adobe Photoshop, etc.)     ",Apprenticeship ,Halal Supervisor ,Sales Area/Business Consultant
"Pria & wanita Usia 18 s/d 35 tahun Pendidikan min. SMP, SMA/K Berpenampilan menarik Sehat jasmani & rohani Siap bekerja 2 shift ",Staff Gudang,Sales Executive,Host Live Streaming
"Pendidikan minimal SMA sederajat Memiliki Pengalaman Kerja minimal 3 tahun di bidang digital marketing Berintegritas, fast learner, dan sehat jasmani dan rohani Dapat bekerja secara individu maupun tim Memahami pemasaran dengan internet marketing (SEO, SEM, dan Digital Ads Platform lainnya) Memiliki kreativitas tinggi dengan kemampuan mengidentifikasi target dan merancang kampanye digital Memiliki ketertarikan dibidang Marketing dan berorientasi pada target Penempatan di kawasan JGC, Cakung, Jakarta Timur",Digital Marketing,Marketing.,Senior Cook Indonesian Food  
