,Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
0,2023-05-25,PT Adaro Energy Indonesia Tbk,1,"Lembang, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
1,2023-05-25,PT Adaro Energy Indonesia Tbk,1,"Lembang, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
2,2023-05-10,PT Adaro Energy Indonesia Tbk,1,"Lembang, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
3,2023-05-10,PT Adaro Energy Indonesia Tbk,1,"Lembang, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
4,2023-04-13,PT Adaro Energy Indonesia Tbk,1,"Lembang, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
5,2023-05-10,PT Adaro Energy Indonesia Tbk,1,"Lembang, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
6,2023-05-10,PT Adaro Energy Indonesia Tbk,1,"Lembang, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
7,2023-05-25,PT Adaro Energy Indonesia Tbk,11,"Lembang, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
8,2023-05-25,PT Adaro Energy Indonesia Tbk,11,"Lembang, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
9,2023-05-23,PT Sampoerna Agro Tbk,Kepala Tata Usaha,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
10,2023-05-23,PT Sampoerna Agro Tbk,Asisten Traksi/Asisten Pabrik,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
11,2023-05-25,PT Adaro Energy Indonesia Tbk,11,"Lembang, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
12,2023-05-15,PT Adaro Energy Indonesia Tbk,11,"Lembang, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
13,2023-05-15,PT Adaro Energy Indonesia Tbk,11,"Lembang, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
14,2023-05-23,PT Sampoerna Agro Tbk,Asisten Kebun,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
15,2023-05-23,PT Bank Muamalat Indonesia Tbk,Customer Service - Yogyakarta Branch,Greater Yogyakarta,,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
16,2023-04-20,PT. Surya TOTO Indonesia Tbk,HRD & GA,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
17,2023-05-23,PT. Tiki Jalur Nugraha Ekakurir (JNE),Account Executive,Jakarta Metropolitan Area,,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
18,2023-05-09,PT GITS Indonesia,Accounting Staff,"Babakan Sari, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
19,2023-05-23,PT. Sarimelati Kencana Tbk.,Production Supervisor,Jakarta Metropolitan Area,,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
20,2023-04-17,Astra Credit Companies (ACC),Auditor,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
21,2023-05-25,Astra Credit Companies (ACC),Architect Internship - General Affair Department,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
22,2023-05-19,Kalbe Nutritionals (PT Sanghiang Perkasa),Key Account Manager,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
23,2023-04-24,"PT BFI Finance Indonesia, Tbk",2023- Marketing Showroom (MRE) BFI Lampung,"Tanjung Karang Barat, Lampung, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
24,2023-04-30,PT. Surya TOTO Indonesia Tbk,Designer,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
25,2023-04-17,PT Dua Komunikasi Indonesia,Bandar Jaya,"Sungkai Tengah, Lampung, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
26,2023-05-23,PT Sampoerna Agro Tbk,STAR Engineering,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
27,2023-05-03,"PT. Summarecon Agung, Tbk.",OFFICER - ADMIN MARKETING (SERPONG),"Serpong, Banten, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
28,2023-05-23,PT. Sarimelati Kencana Tbk.,Quality Control Supervisor,Jakarta Metropolitan Area,,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
29,2023-05-19,Kalbe Nutritionals (PT Sanghiang Perkasa),IT Web Developer,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
30,2023-05-27,The Jakarta Post,Project Officer,Jakarta Metropolitan Area,,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
31,2023-05-23,PT Sampoerna Agro Tbk,STAR Accounting,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
32,2023-05-27,Astra Credit Companies (ACC),Fraud Investigator,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
33,2023-05-27,PT. Golden Roof Polymer,Asisten Direktur,"Tangerang, Banten, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
34,2023-04-20,PT. Rekayasa Engineering,Accounting Staff,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
35,2023-05-03,"PT. Summarecon Agung, Tbk.",ADMIN PROYEK (SERPONG),"Serpong, Banten, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
36,2023-05-01,PT Onix Kreatif Indonesia,Accounting,Jakarta Metropolitan Area,,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
37,2023-04-28,Astra Credit Companies (ACC),Creative Design,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
38,2023-05-23,PT Alam Sutera Realty Tbk.,IT Support,"Tangerang, Banten, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
39,2023-04-16,PT Bank Neo Commerce Tbk,Admin,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
40,2023-05-09,PT Smartfren Telecom Tbk,Accounting Staff,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
41,2023-05-27,Harisenin.com,Human Capital Intern,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
42,2023-05-27,Harisenin.com,Talent Development (Program Bootcamp HR),"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
43,2023-05-25,Harisenin.com,Community Marketing,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
44,2023-05-14,SICEPAT EKSPRES INDONESIA,Learning Instruction Supervisor,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
45,2023-04-20,PT. Rekayasa Engineering,Legal Staff,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
46,2023-05-12,"Love, Bonito",Sales Assistant AEON Mall BSD (Fulltime),"South Tangerang City, Banten, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
47,2023-05-02,PT TRIPUTRA AGRO PERSADA GROUP,Kepala Tata Usaha,"Berau, East Kalimantan, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
48,2023-04-13,"PT BFI Finance Indonesia, Tbk",MT - Business Relationship Officer (Sidoarjo),"Sidoarjo, East Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
49,2023-04-15,PT Air Mas Perkasa,Staf Admin AP (Account Payable),Jakarta Metropolitan Area,,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
50,2023-05-10,Tim Koding Indonesia,Gudang,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
51,2023-05-10,Matana University,Staf Fakultas Seni Desain & Humaniora,"Tangerang, Banten, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
52,2023-04-20,PT. Rekayasa Engineering,Civil Engineering,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
53,2023-05-03,PT Sinarmas Multifinance,IT Junior Java Developer,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
54,2023-05-19,Emtek (PT Elang Mahkota Teknologi Tbk),Finance Accounting Officer,Jakarta Metropolitan Area,,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
55,2023-05-30,PT Kapal Api Global,Supply Chain Admin Staff,"Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
56,2023-05-26,TIX ID,Business Development Associate,"Jakarta, Jakarta, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
57,2023-05-08,"PT. Summarecon Agung, Tbk.",ADMIN - TOWN MANAGEMENT (BEKASI),"Bekasi, West Java, Indonesia",,,,,,https://id.linkedin.com/jobs/view/risk-management-staff-at-asuransi-astra-3616714403?refId=ch4MA9UTCd2UY7%2FrUoDjKw%3D%3D&trackingId=iW6VnwgPX1IXHV6RgtxwSw%3D%3D&position=25&pageNum=6&trk=public_jobs_jserp-result_search-card
